# form id | pokemondb HOME sprite name
# Generated and URL-verified by tools/gen_hdform_names.py (task #13).
# Regenerate whenever FORM_SPRITE_IDS changes in the Makefile.
10001|deoxys-attack
10002|deoxys-defense
10003|deoxys-speed
10004|wormadam-sandy
10005|wormadam-trash
10006|shaymin-sky
10007|giratina-origin
10008|rotom-heat
10009|rotom-wash
10010|rotom-frost
10011|rotom-fan
10012|rotom-mow
10016|basculin-blue-striped
10019|tornadus-therian
10020|thundurus-therian
10021|landorus-therian
10022|kyurem-black
10023|kyurem-white
10024|keldeo-resolute
10025|meowstic-female
10027|pumpkaboo-small
10028|pumpkaboo-large
10029|pumpkaboo-super
10030|gourgeist-small
10031|gourgeist-large
10032|gourgeist-super
10033|venusaur-mega
10034|charizard-mega-x
10035|charizard-mega-y
10036|blastoise-mega
10037|alakazam-mega
10038|gengar-mega
10039|kangaskhan-mega
10040|pinsir-mega
10041|gyarados-mega
10086|hoopa-unbound
10087|camerupt-mega
10088|lopunny-mega
10089|salamence-mega
10090|beedrill-mega
10091|rattata-alolan
10092|raticate-alolan
10093|raticate-alolan
10094|pikachu-original-cap
10095|pikachu-hoenn-cap
10096|pikachu-sinnoh-cap
10097|pikachu-unova-cap
10098|pikachu-kalos-cap
10099|pikachu-alola-cap
10100|raichu-alolan
10101|sandshrew-alolan
10102|sandslash-alolan
10103|vulpix-alolan
10104|ninetales-alolan
10105|diglett-alolan
10106|dugtrio-alolan
10107|meowth-alolan
10108|persian-alolan
10109|geodude-alolan
10110|graveler-alolan
10111|golem-alolan
10112|grimer-alolan
10113|muk-alolan
10114|exeggutor-alolan
10115|marowak-alolan
10116|greninja
10117|greninja-ash
10118|zygarde-10
10119|zygarde-50
10120|zygarde-complete
10123|oricorio-pom-pom
10124|oricorio-pau
10125|oricorio-sensu
10126|lycanroc-midnight
10127|wishiwashi-school
10130|minior-meteor
10131|minior-meteor
10132|minior-meteor
10133|minior-meteor
10134|minior-meteor
10152|lycanroc-dusk
10155|necrozma-dusk-mane
10156|necrozma-dawn-wings
10157|necrozma-ultra
10161|meowth-galarian
10162|ponyta-galarian
10163|rapidash-galarian
10164|slowpoke-galarian
10165|slowbro-galarian
10166|farfetchd-galarian
10167|weezing-galarian
10168|mr-mime-galarian
10169|articuno-galarian
10170|zapdos-galarian
10171|moltres-galarian
10172|slowking-galarian
10173|corsola-galarian
10174|zigzagoon-galarian
10175|linoone-galarian
10176|darumaka-galarian
10177|darmanitan-galarian-standard
10178|darmanitan-galarian-zen
10179|yamask-galarian
10180|stunfisk-galarian
10184|toxtricity-low-key
10185|eiscue-noice
10186|indeedee-female
10188|zacian-crowned
10189|zamazenta-crowned
10191|urshifu-rapid-strike
10192|zarude-dada
10193|calyrex-ice-rider
10194|calyrex-shadow-rider
10229|growlithe-hisuian
10230|arcanine-hisuian
10231|voltorb-hisuian
10232|electrode-hisuian
10233|typhlosion-hisuian
10234|qwilfish-hisuian
10235|sneasel-hisuian
10236|samurott-hisuian
10237|lilligant-hisuian
10238|zorua-hisuian
10239|zoroark-hisuian
10240|braviary-hisuian
10241|sliggoo-hisuian
10242|goodra-hisuian
10243|avalugg-hisuian
10244|decidueye-hisuian
10245|dialga-origin
10246|palkia-origin
10247|basculin-white-striped
10248|basculegion-female
10249|enamorus-therian
10250|tauros-paldean-combat
10251|tauros-paldean-blaze
10252|tauros-paldean-aqua
10253|wooper-paldean
10254|oinkologne-female
10255|dudunsparce-three-segment
10256|palafin-hero
10257|maushold
10258|tatsugiri-droopy
10259|tatsugiri-stretchy
10260|squawkabilly-blue
10261|squawkabilly-yellow
10262|squawkabilly-white
10263|gimmighoul-roaming
10272|ursaluna-bloodmoon
10273|ogerpon-wellspring
10274|ogerpon-hearthflame
10275|ogerpon-cornerstone
10276|terapagos-terastal
10277|terapagos-stellar
